k	tiempo
1	0.000316255092621
51	0.000369542837143
101	0.000417323112488
151	0.000454503297806
201	0.00045503616333
251	0.00046276807785
301	0.000474735498428
351	0.000451627969742
401	0.000434951782227
451	0.000363116264343
