k	tiempo
1	0.00149870038033
51	0.00222362875938
101	0.00308516979218
151	0.00366617798805
201	0.0043427336216
251	0.00506359934807
301	0.00572759628296
351	0.00645224094391
401	0.00698442816734
451	0.00756263494492
