k	tiempo
1	0.00022200345993
51	0.000208724737167
101	0.00023642539978
151	0.000206760168076
201	0.000183326005936
251	0.000218398571014
301	0.000181106328964
351	0.000172033309937
401	0.000211716890335
451	0.000240609645844
