k	tiempo
1	0.000292150974274
51	0.00128571152687
101	0.00357031941414
151	0.00772382736206
201	0.0124896848202
251	0.0160873746872
301	0.017997777462
351	0.0170382463932
401	0.0132036876678
451	0.00752712368965
