k	tiempo
1	6.8587064743e-05
51	0.00114763259888
101	0.00210967898369
151	0.00287947535515
201	0.00351576685905
251	0.00415881276131
301	0.00460079789162
351	0.00501177310944
401	0.00534517288208
451	0.0054692697525
