k	tiempo
0	0.165776479244
100	0.0945256710052
200	0.0688029766083
300	0.0940580010414
400	0.096277987957
500	0.0824088096619
600	0.0905226826668
700	0.0911994099617
800	0.102615523338
900	0.0785499811172
